plate,well,location,coating,sample_strain,sample_id,OD
p2,d2,p2d2,0.01_FBS,LAC,srtA_KO,0.3027999997
p2,d3,p2d3,0.01_FBS,LAC,icaA_KO,0.3569999933
p2,d4,p2d4,0.01_FBS,LAC,atl_KO,0.258100003
p2,d5,p2d5,0.01_FBS,LAC,agrA_C123F,1.8696000576
p2,d6,p2d6,0.01_FBS,LAC,wt,0.4318000078
p2,d7,p2d7,0.01_FBS,empty,,0.1359000057
p2,d8,p2d8,0.01_FBS,Newman,agrA_KO,1.2182999849
p2,d9,p2d9,0.01_FBS,Newman,wt,0.3898000121
p2,d10,p2d10,0.01_FBS,22251,wt,0.6162999868
p2,d11,p2d11,0.01_FBS,epi,wt,1.1104999781
p2,e2,p2e2,0.01_FBS,LAC,srtA_KO,0.285100013
p2,e3,p2e3,0.01_FBS,LAC,icaA_KO,0.3860999942
p2,e4,p2e4,0.01_FBS,LAC,atl_KO,0.2603999972
p2,e5,p2e5,0.01_FBS,LAC,agrA_C123F,2.1940000057
p2,e6,p2e6,0.01_FBS,LAC,wt,0.5568000078
p2,e7,p2e7,0.01_FBS,empty,,0.121799998
p2,e8,p2e8,0.01_FBS,Newman,agrA_KO,1.6059000492
p2,e9,p2e9,0.01_FBS,Newman,wt,0.4032999873
p2,e10,p2e10,0.01_FBS,22251,wt,0.7541999817
p2,e11,p2e11,0.01_FBS,epi,wt,1.9113999605
p2,f2,p2f2,0.01_FBS,LAC,srtA_KO,0.2818000019
p2,f3,p2f3,0.01_FBS,LAC,icaA_KO,0.6335999966
p2,f4,p2f4,0.01_FBS,LAC,atl_KO,0.2619999945
p2,f5,p2f5,0.01_FBS,LAC,agrA_C123F,1.7031999826
p2,f6,p2f6,0.01_FBS,LAC,wt,0.3761999905
p2,f7,p2f7,0.01_FBS,empty,,0.141900003
p2,f8,p2f8,0.01_FBS,Newman,agrA_KO,1.5096999407
p2,f9,p2f9,0.01_FBS,Newman,wt,0.420599997
p2,f10,p2f10,0.01_FBS,22251,wt,0.7010999918
p2,f11,p2f11,0.01_FBS,epi,wt,1.057199955
p2,g2,p2g2,0.01_FBS,LAC,srtA_KO,0.4828000069
p2,g3,p2g3,0.01_FBS,LAC,icaA_KO,0.537899971
p2,g4,p2g4,0.01_FBS,LAC,atl_KO,0.2714000046
p2,g5,p2g5,0.01_FBS,LAC,agrA_C123F,2.1918001175
p2,g6,p2g6,0.01_FBS,LAC,wt,0.5909000039
p2,g7,p2g7,0.01_FBS,empty,,0.1159000024
p2,g8,p2g8,0.01_FBS,Newman,agrA_KO,1.3575999737
p2,g9,p2g9,0.01_FBS,Newman,wt,0.3901000023
p2,g10,p2g10,0.01_FBS,22251,wt,0.6516000032
p2,g11,p2g11,0.01_FBS,epi,wt,1.0822999477
p3,b2,p3b2,FBS,LAC,wt,0.1596000046
p3,b3,p3b3,FBS,LAC,agrA_C123F,0.2671000063
p3,b4,p3b4,FBS,LAC,atl_KO,0.1483999938
p3,b5,p3b5,FBS,LAC,icaA_KO,0.1590999961
p3,b6,p3b6,FBS,LAC,srtA_KO,0.1437000036
p3,b7,p3b7,FBS,epi,wt,0.1263999939
p3,b8,p3b8,FBS,22251,wt,0.4871000051
p3,b9,p3b9,FBS,Newman,wt,0.1724999994
p3,b10,p3b10,FBS,Newman,agrA_KO,0.2114000022
p3,b11,p3b11,FBS,empty,,0.115699999
p3,c2,p3c2,FBS,LAC,wt,0.2047999948
p3,c3,p3c3,FBS,LAC,agrA_C123F,0.4763000011
p3,c4,p3c4,FBS,LAC,atl_KO,0.1317999959
p3,c5,p3c5,FBS,LAC,icaA_KO,0.1618999988
p3,c6,p3c6,FBS,LAC,srtA_KO,0.1683000028
p3,c7,p3c7,FBS,epi,wt,0.3544999957
p3,c8,p3c8,FBS,22251,wt,0.8295000196
p3,c9,p3c9,FBS,Newman,wt,0.261500001
p3,c10,p3c10,FBS,Newman,agrA_KO,0.5011000037
p3,c11,p3c11,FBS,empty,,0.1158000007
p3,d2,p3d2,FBS,LAC,wt,0.2671999931
p3,d3,p3d3,FBS,LAC,agrA_C123F,0.8871999979
p3,d4,p3d4,FBS,LAC,atl_KO,0.1758999974
p3,d5,p3d5,FBS,LAC,icaA_KO,0.2168000042
p3,d6,p3d6,FBS,LAC,srtA_KO,0.199300006
p3,d7,p3d7,FBS,epi,wt,0.4334999919
p3,d8,p3d8,FBS,22251,wt,1.0506000519
p3,d9,p3d9,FBS,Newman,wt,0.2495999932
p3,d10,p3d10,FBS,Newman,agrA_KO,0.6320000291
p3,d11,p3d11,FBS,empty,,0.1182999983
p3,e2,p3e2,FBS,LAC,wt,0.306400001
p3,e3,p3e3,FBS,LAC,agrA_C123F,0.9819999933
p3,e4,p3e4,FBS,LAC,atl_KO,0.1617999971
p3,e5,p3e5,FBS,LAC,icaA_KO,0.2393999994
p3,e6,p3e6,FBS,LAC,srtA_KO,0.1923999935
p3,e7,p3e7,FBS,epi,wt,0.400000006
p3,e8,p3e8,FBS,22251,wt,1.0267000198
p3,e9,p3e9,FBS,Newman,wt,0.2883999944
p3,e10,p3e10,FBS,Newman,agrA_KO,0.5856999755
p3,e11,p3e11,FBS,empty,,0.1307999939
p3,f2,p3f2,FBS,LAC,wt,0.2590999901
p3,f3,p3f3,FBS,LAC,agrA_C123F,0.826399982
p3,f4,p3f4,FBS,LAC,atl_KO,0.1580999941
p3,f5,p3f5,FBS,LAC,icaA_KO,0.3467000127
p3,f6,p3f6,FBS,LAC,srtA_KO,0.2159000039
p3,f7,p3f7,FBS,epi,wt,0.4860000014
p3,f8,p3f8,FBS,22251,wt,1.1058000326
p3,f9,p3f9,FBS,Newman,wt,0.2633000016
p3,f10,p3f10,FBS,Newman,agrA_KO,0.6593999863
p3,f11,p3f11,FBS,empty,,0.1177000031
p3,g2,p3g2,FBS,LAC,wt,0.2211000025
p3,g3,p3g3,FBS,LAC,agrA_C123F,0.9643999934
p3,g4,p3g4,FBS,LAC,atl_KO,0.1726000011
p3,g5,p3g5,FBS,LAC,icaA_KO,0.4436999857
p3,g6,p3g6,FBS,LAC,srtA_KO,0.2698000073
p3,g7,p3g7,FBS,epi,wt,0.4323000014
p3,g8,p3g8,FBS,22251,wt,1.0235999823
p3,g9,p3g9,FBS,Newman,wt,0.2885999978
p3,g10,p3g10,FBS,Newman,agrA_KO,0.3937000036
p3,g11,p3g11,FBS,empty,,0.1171000004
p4,b2,p4b2,FBS,LAC,srtA_KO,0.2134000063
p4,b3,p4b3,FBS,LAC,icaA_KO,0.1526000053
p4,b4,p4b4,FBS,LAC,atl_KO,0.1713999957
p4,b5,p4b5,FBS,LAC,agrA_C123F,0.5654000044
p4,b6,p4b6,FBS,LAC,wt,0.1843000054
p4,b7,p4b7,FBS,empty,,0.1093999967
p4,b8,p4b8,FBS,Newman,agrA_KO,0.6403999925
p4,b9,p4b9,FBS,Newman,wt,0.2642999887
p4,b10,p4b10,FBS,22251,wt,0.3258999884
p4,b11,p4b11,FBS,epi,wt,0.7117000222
p4,c2,p4c2,FBS,LAC,srtA_KO,0.2249000072
p4,c3,p4c3,FBS,LAC,icaA_KO,0.1465999931
p4,c4,p4c4,FBS,LAC,atl_KO,0.1611000001
p4,c5,p4c5,FBS,LAC,agrA_C123F,0.6460000277
p4,c6,p4c6,FBS,LAC,wt,0.2190999985
p4,c7,p4c7,FBS,empty,,0.1081999987
p4,c8,p4c8,FBS,Newman,agrA_KO,0.5529999733
p4,c9,p4c9,FBS,Newman,wt,0.2937000096
p4,c10,p4c10,FBS,22251,wt,0.497299999
p4,c11,p4c11,FBS,epi,wt,0.6297000051
p4,d2,p4d2,FBS,LAC,srtA_KO,0.3265999854
p4,d3,p4d3,FBS,LAC,icaA_KO,0.2305999994
